               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.020758,            0.020669,            0.001132,             0.88686,             0.72605,             0.80585,             0.50388,            0.026495,            0.030029,           0.0057423,            0.001981,            0.001981,            0.001981
                  83,            0.021064,            0.021941,           0.0011786,             0.90735,             0.71481,             0.80365,              0.5077,            0.026606,            0.029957,           0.0064068,            0.001882,            0.001882,            0.001882
                  84,             0.02032,            0.021934,           0.0010418,             0.89777,             0.72727,             0.80272,             0.50871,            0.026607,            0.030208,           0.0065024,            0.001783,            0.001783,            0.001783
                  85,            0.020192,            0.021225,           0.0010908,             0.89647,             0.71232,             0.80015,             0.51007,            0.026392,            0.030087,           0.0069939,            0.001684,            0.001684,            0.001684
                  86,            0.020366,             0.02245,          0.00099911,             0.88395,             0.73156,             0.80781,             0.50414,            0.026421,            0.029627,           0.0061166,            0.001585,            0.001585,            0.001585
                  87,            0.020242,            0.020431,           0.0010515,             0.87739,             0.73987,             0.80672,             0.50759,            0.026686,            0.029336,           0.0057335,            0.001486,            0.001486,            0.001486
                  88,            0.020243,            0.022615,           0.0012437,             0.86316,              0.7396,             0.80774,             0.50012,              0.0266,            0.029187,           0.0053681,            0.001387,            0.001387,            0.001387
                  89,            0.020013,            0.021981,           0.0010577,             0.87519,             0.74503,               0.809,             0.50493,            0.026506,            0.029256,           0.0057454,            0.001288,            0.001288,            0.001288
                  90,            0.019592,            0.020414,           0.0010834,             0.91377,             0.73109,             0.81901,             0.51037,            0.026177,            0.029301,           0.0050121,            0.001189,            0.001189,            0.001189
                  91,            0.019536,            0.021606,           0.0010395,             0.87124,             0.74129,             0.82378,             0.51756,            0.026556,            0.029527,           0.0057365,             0.00109,             0.00109,             0.00109
                  92,            0.019902,            0.021766,           0.0010122,             0.87947,             0.73194,             0.80969,             0.51382,            0.026083,            0.030052,            0.005559,            0.000991,            0.000991,            0.000991
                  93,            0.019841,            0.021371,          0.00099151,             0.90879,             0.73503,             0.82307,              0.5086,            0.026504,            0.030271,           0.0049443,            0.000892,            0.000892,            0.000892
                  94,            0.019812,            0.021363,           0.0009864,              0.9028,             0.74602,             0.82467,             0.52667,            0.025805,            0.029843,           0.0050063,            0.000793,            0.000793,            0.000793
                  95,            0.019374,             0.02031,           0.0010589,              0.8743,             0.75346,             0.81837,               0.519,            0.026188,            0.030157,           0.0054744,            0.000694,            0.000694,            0.000694
                  96,             0.01945,            0.021551,          0.00087786,             0.88264,             0.74812,             0.81777,             0.51254,            0.025934,            0.029965,           0.0055999,            0.000595,            0.000595,            0.000595
                  97,            0.019167,              0.0198,          0.00088716,             0.89067,             0.73253,             0.81904,             0.51727,            0.025865,             0.02994,           0.0060473,            0.000496,            0.000496,            0.000496
                  98,             0.01879,            0.020725,          0.00094163,             0.87302,              0.7339,             0.82068,             0.51879,            0.026059,            0.030452,           0.0058989,            0.000397,            0.000397,            0.000397
                  99,            0.019506,            0.021053,          0.00086803,             0.87089,             0.73967,             0.82039,             0.51812,              0.0261,            0.030451,           0.0057031,            0.000298,            0.000298,            0.000298
